"quotation_id","lob_name","lead","shipment_type","cargo_type","packages","gross_weight_in_kgs","volume_cbm","charge_weight_in_kgs","movement_type","carrier","transit_destination","transit_days","origin","place_of_receipt","port_of_loading","port_of_discharge","place_of_delivery","final_destination","quotation_id-2","party_name","party_branch","quoted_by","sales_coordinator"
3405,"Sea Export","","International","FCL","0","19000.000","0.000","19000.000","Door-to-Door","Evergreen Shipping Agency (India) Pvt. Ltd.","Kuala Lumpur","10","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Kuantan (Tanjong Gelang)(MYKUA)","Kuantan (Tanjong Gelang)(MYKUA)","Kuantan (Tanjong Gelang)(MYKUA)",3405,"National Steel Pvt. Ltd.","Kurla","Sachin Gole",NULL
3406,"Air Export","","International","Loose","0","0.000","0.000","0.000","Door-to-Door","","","","Manila(PHMNL)","Manila(PHMNL)","Manila(PHMNL)","Helsinki (Helsingfors)(FIHEL)","Helsinki (Helsingfors)(FIHEL)","Helsinki (Helsingfors)(FIHEL)",3406,"SAMSUNG INDIA PVT LTD","Manila","Angelica Tumbaga",NULL
3407,"Sea Export","","International","FCL","0","1000.000","250.000","250000.000","Port-to-Port","Hapag-Lloyd","","","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Dubai(AEDXB)","Dubai(AEDXB)","Dubai(AEDXB)",3407,"GROW MORE PVT LTD.","Mumbai","Shreekesh Naik",NULL
3408,"Sea Export","","International","FCL","5","200.000","240.000","240000.000","Door-to-Door","Able Container Line","Chicago","20","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)",3408,"1FORTUNE SHIPPING PVT LTD - test","Delhi","Hardesh","Aarti Parmar"
3408,"Sea Export","","International","FCL","0","200.000","240.000","240000.000","Door-to-Door","C G M","Chicago","20","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)",3408,"1FORTUNE SHIPPING PVT LTD - test","Delhi","Hardesh","Aarti Parmar"
3409,"Sea Export","","International","FCL","0","1000.000","250.000","250000.000","Port-to-Port","Hapag-Lloyd","","","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Nhava Sheva(INNSA)","Dubai(AEDXB)","Dubai(AEDXB)","Dubai(AEDXB)",3409,"GROW MORE PVT LTD.","Mumbai","Shreekesh Naik",NULL
3410,"Air Export","","International","Loose","10","10.000","0.010","10.000","Door-to-Door","PATRICK AIRLINE","Houston","3","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)","Houston(USHOU)","Houston(USHOU)","Houston(USHOU)",3410,"NCS SHIPPING & LOGISTICS PVT LTD","Mumbai","Pratik Shinde","amituser1"
3411,"Air Import","","International","Loose","0","0.000","0.000","0.000","Door-to-Door","","","","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)","Delhi(INDEL)","Delhi(INDEL)","Delhi(INDEL)",3411,"Aarti India Pvt Ltd.","Delhi","Aarti Parmar",NULL
3412,"Air Import","","International","Loose","0","0.000","0.000","0.000","Door-to-Door","","","","Chicago(USCHI)","Chicago(USCHI)","Chicago(USCHI)","Delhi(INDEL)","Delhi(INDEL)","Delhi(INDEL)",3412,"Aarti India Pvt Ltd.","Delhi","Aarti Parmar",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3413,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3413,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
3414,"Sea Import","","International","FCL","250000","10000.000","0.000","10000.000","Door-to-Door","","","","New York(USNYC)","New York(USNYC)","New York(USNYC)","Mumbai(INBOM)","Mumbai(INBOM)","Mumbai(INBOM)",3414,"DEl Logistics","Mumbai","kishore",NULL
